127.0.0.1 - - [26/Jul/2020:12:31:19 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:31:22 +0900] "GET /ajaxPro/lprod/lprod.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:31:22 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:31:24 +0900] "GET /ajaxPro/LprodServlet HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:32:15 +0900] "GET /ajaxPro/lprod/lprod.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:32:15 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:32:15 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:32:29 +0900] "GET /ajaxPro/LprodServlet HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:33:30 +0900] "GET /ajaxPro/lprod/lprod.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:12:34:05 +0900] "GET /ajaxPro/LprodServlet HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:45:48 +0900] "GET /ajaxPro/LprodServlet HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:07 +0900] "GET /ajaxPro/prod/prod.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:08 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:08 +0900] "POST /ajaxPro/GetLprodServlet HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:33 +0900] "GET /ajaxPro/prod/prod.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:33 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:13:59:33 +0900] "POST /ajaxPro/GetLprodServlet HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Jul/2020:14:00:00 +0900] "GET /ajaxPro/prod/prod.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [26/Jul/2020:14:00:00 +0900] "POST /ajaxPro/GetLprodServlet HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Jul/2020:14:00:02 +0900] "GET /favicon.ico HTTP/1.1" 404 973
